radius_au,visual_extinction
1535.2587009533,28.6668819082658
1955.01710256654,28.2581321080194
2372.0604684162,26.1745616906163
2781.51751287787,25.0708119387742
3188.29432992006,23.8989256623105
3582.53555780734,22.2429992494447
3979.99837765282,21.8211351373806
4371.55113851345,19.4527627009316
4760.8384331521,18.0184428122182
5155.38928596232,16.8504392598793
5535.21759433343,16.1398765245274
5926.15494208112,14.8784322783012
6308.72283243829,13.3911886055401
6677.90189037446,11.8807559495723
7048.61340738833,10.7960287709995
7418.7787562622,9.8574139309764
7808.38372787992,9.2184300516121
8171.84305427757,8.7875324925539
8552.22043779808,7.7591275258406
8924.88906386158,7.29097925912087
9287.35052867841,6.78579650314974
9664.53243568081,5.84994478716456
10028.4757654641,5.49698738268879
10376.5762412258,4.90036794384182
10767.3334489971,4.67130978820508
11109.4455684586,4.10492865466372
11495.0678083952,3.45510729459222
11860.302342081,2.9081544215346
12202.3942762735,2.5678130966394
12554.3533190829,2.07018098889289
12916.4640718773,1.79323932269147
13289.0193449076,1.3263591039124
13672.3203940798,1.10575533562969
13986.906177067,0.908698808124927
14390.3366841043,0.764849317654436
14721.4432704581,0.462679934342618
15060.1682728319,0.393182875570577
15406.6869830048,0.365939730085982
15761.1787260367,0.300725654093565
